stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
141,,AT&T Building 1025,,33.851053594728,-84.345837885493,,,0,,0,
142,,AT&T Building 1277,,33.849594003649,-84.344229214656,,,0,,0,
143,,Piedmont Center 9-12,,33.85140650931731,-84.37525972638744,,,0,,0,
1082598,201,City Hall (Transfer for both Routes),Elizabeth St @ E Marietta St,34.23477142644429,-84.4903907395083,,,0,,0,
1082599,202,Must Ministries,141 W Marietta St,34.232385474610446,-84.49103569183737,,,0,,0,
1082600,203,Lower Dr. John T. Pettit,Dr John T Pettit St @ Marietta Rd,34.23131709972703,-84.49040227535612,,,0,,0,
1082601,204,Hearthstone Landing Apts./ Cherokee Family Violence Center,100 Cherokee St,34.231877474518726,-84.4853491935205,,,0,,0,
1082602,205,Upper Dr. John T. Pettit & Main St,Dr John T Pettit St @ E Main St,34.234622140585266,-84.48594994317797,,,0,,0,
1082603,206,Shipp St @ Shelter,Shipp St @ Cul de Sac,34.23817297301816,-84.48426431842873,,,0,,0,
1082604,207,Shipp St @ Main St,Shipp St @ E Main St,34.23520147377531,-84.48470294352562,,,0,,0,
1082605,208,Jefferson Circle @ Shelter,35 Jefferson Cir,34.23232564098474,-84.48258886096257,,,0,,0,
1082606,209,Jefferson Circle @ Stop Sign,Jefferson Cir @ Crisler St,34.233297640773586,-84.48217369437215,,,0,,0,
1082607,210,Main St & Crisler St,Crisler St @ E Main St,34.236651894060394,-84.48111363530161,,,0,,0,
1082608,211,Library,116 Brown Industrial Pkwy,34.237508379326,-84.469239913279,,,0,,0,
1082609,212,Department of Family & Children Services,105 Lamar Haley Pkwy,34.242064673486,-84.473376143115,,,0,,0,
1082610,213,Hasty Elementary,205 Brown Industrial Pkwy,34.24000452780936,-84.47126630828153,,,0,,0,
1082611,216,Walmart (Transfer for both Routes),1550 Riverstone Parkway,34.256114885086895,-84.46154644911444,,,0,,0,
1082612,217,Kmart (Canton Corners),1750 Marietta Hwy,34.22352422311,-84.502480517345,,,0,,0,
1082613,218,Colonial Village,2530 Marietta Hwy @ Morris Hill Rd,34.21300810661,-84.504530774656,,,0,,0,
1082614,220,McDonalds @ Ridge Rd. & Hwy 5,Marietta Hwy @ Ridge Rd,34.198258413417,-84.508829913868,,,0,,0,
1082615,221,Prominence Point Shopping,140 Prominence Point Pkwy,34.19131495077687,-84.51003782185032,,,0,,0,
1082616,222,Kroger (Canton Kroger Shopping Center),4045 Marietta Hwy,34.192814205903744,-84.50732835588501,,,0,,0,
1082617,223,Health Department,1219 Univeter Rd,34.19330473311741,-84.4930610683731,,,0,,0,
1082618,224,Dairy Queen,2745 Marietta Hwy @ Latimer Dr,34.21030870211528,-84.50446491137882,,,0,,0,
1082619,225,Coppermine Manor Subdivision,Marietta Rd @ Copper Mine Ln,34.22411589310538,-84.49405752470179,,,0,,0,
1082620,226,Marietta Road & Edwards Street,490 Marietta Rd @ Edwards St,34.22688647627,-84.492752212328,,,0,,0,
1082622,107,Juniper St & Canton Mill Loft Apts.,100 Juniper St @ Shelter,34.24482763839143,-84.48678302569924,,,0,,0,
1082624,103,Cherokee North Apartment,North St @ Dupree St,34.23720280681779,-84.48869789225317,,,0,,0,
1082625,104,North St (at courthouse benches),100 North St,34.23740214018384,-84.49090635826447,,,0,,0,
1082626,105,YMCA-G. Cecil Pruett Community Center,151 Waleska St,34.242625527958225,-84.49249524637868,,,0,,0,
1082627,106,Ingles,104 Riverstone Parkway,34.24284180565467,-84.49148319110675,,,0,,0,
1082628,108,Birch St & Lakeview Dr,Birch St @ Lakeview Dr,34.24685147134103,-84.4878218586298,,,0,,0,
1082629,109,Oakside Professional Center,Medical Lane @ Oakside Ct,34.247436971332085,-84.48982302471089,,,0,,0,
1082630,110,Lancaster Ridge Apts.,Hickory Knoll Dr @ Shelter,34.251235970481744,-84.4889941914108,,,0,,0,
1082631,112,Oakside Apts. @ Cul-de-Sac Shelter,1400 Oakside Dr @ Cul-de-Sac Shelter,34.253285636716406,-84.48798402495508,,,0,,0,
1082632,111,Oakside Apts. @ Hilltop,1400 Oakside Dr @ Hilltop shelter,34.25205030371402,-84.49127402403202,,,0,,0,
1082633,113,Northside Hospital - Cherokee,Hospital Dr @ Crosswalk to Main Entrance,34.245992971655994,-84.49038427462156,,,0,,0,
1082634,114,Hospital Road & Mashburn Road,Hospital Rd @ Mashburn Rd,34.248252679574726,-84.49179419076881,,,0,,0,
1082635,115,Hospital Road & Highway 140,Hospital Rd @ Waleska Rd (Ga 140),34.252786914813385,-84.49375063441894,,,0,,0,
1082636,116,Highway 140 & Reinhardt College Parkway,Reinhardt College Pkwy 150 yds east Ga 140,34.25685996952911,-84.49400224525316,,,0,,0,
1082637,117,River Ridge Apts. & Heritage Apts.,Reinhardt College Pkwy @ Shelter east of River Ridge Dr,34.25758321919467,-84.4889456911309,,,0,,0,
1082638,120,Belk,1447 Riverstone Pkwy in Riverstone Plaza,34.25206938652871,-84.47679394491294,,,0,,0,
1082639,121,Publix,1451 Riverstone Pkwy in Riverstone Plaza,34.252642219700626,-84.47574569518649,,,0,,0,
1082640,132,Chevron @ Hickory Flat Rd,75 Hickory Flat Hwy near intersection with Marietta Rd,34.22864208251842,-84.49133587709696,,,0,,0,
1082641,130,Hillcrest Subdivision,Hickory Flat Hwy @ Hillcrest Dr,34.22143800234274,-84.46840064616177,,,0,,0,
1082642,129,Cherokee Overlook Subdivision,Cherokee Overlook Dr (100 yds North of Hickory Flat Hwy),34.22036763533126,-84.46345420428204,,,0,,0,
1082643,131,Laurels @ Greenwood Apts.,Hickory Flat Hwy @ Greenswood Dr,34.22383743769639,-84.47538532842675,,,0,,0,
1082644,102,East Marietta St & Main St,E Marietta St @ Main St,34.2366492335512,-84.48978879267843,,,0,,0,
1082645,214,Best Buy - Canton Marketplace,"1810 Cumming Hwy, Suite 600",34.23725395440635,-84.46098432439464,,,0,,0,
1082646,215,Target - Canton Marketplace,Commerce Drive @ Shelter,34.236170594982,-84.458359898787,,,0,,0,
1082647,128,L. Scott Mill Rd,L Scott Mill Rd (100 yard South of Hickory Flat Hwy_,34.222884046543676,-84.4837467392294,,,0,,0,
1082648,118,Riverstone Medical,Reinhardt College Pkwy @ Riverstone Terrace,34.25416503943,-84.479061502099,,,0,,0,
1082649,119,Bealls,1439 Riverstone Pkwy in Riverstone Plaza,34.25146156532227,-84.47746806267656,,,0,,0,
1082650,219,Ridge Pine Office Park,2920 Marietta Hwy,34.207956092566924,-84.50611267064677,,,0,,0,
1082651,125,Canton Mill Loft Apts. & Juniper St,Riverstone Pkwy @ Juniper St,34.2447468606242,-84.48646041468928,,,0,,0,
1082652,126,Pizza Hut,220 Marietta Hwy,34.242807916919446,-84.49588857870883,,,0,,0,
1082653,127,Cherokee High School,930 Marietta Hwy,34.23465345740635,-84.49996281765328,,,0,,0,
1082654,124,Starbucks @ Riverstone,1375 Riverstone Pkwy,34.24841999912124,-84.47853399999998,,,0,,0,
1082655,123,Cracker Barrel,Spring St @ Transit Ave,34.253537233452946,-84.4700578684009,,,0,,0,
CCT_1,,Cobb Pkwy & Parkway Pointe (AMC Theaters),,33.87783,-84.45668,,,0,,0,
CCT_10,,Cobb Pkwy & Kenwood Creek (Homeland Self Storage),,33.89546,-84.48027,,,0,,0,
CCT_100,,Roswell St & Cole St (Cobb Co Central Library),,33.95047,-84.54402,,,0,,0,
CCT_101,,Fairground St & Pierce St (Christian Alive Church),,33.94928,-84.53603,,,0,,0,
CCT_102,,Fairground St & Frasier St (First Christian),,33.94702,-84.53588,,,0,,0,
CCT_103,,Cobb Pkwy & Paces Mill Rd (Kroger),,33.87159,-84.45634,,,0,,0,
